rxcui,drug_name,tty,production,prev_final,new_final,fix_source,confidence,reason
1858562,histamine dihydrochloride 0.5 MG/ML / menthol 30 MG/ML Topical Cream,SCD,V04CG03,L03AX14,L03AX14,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1607016,camphor 40 MG/ML / histamine dihydrochloride 0.25 MG/ML / menthol 100 MG/ML Topical Spray,SCD,V04CG03,L03AX14,L03AX14,llm-KEEP_CURRENT,LOW,low-confidence adjudication
656680,ibuprofen 200 MG / pseudoisocytidine 30 MG Oral Tablet,SCD,M01AE01|M01AE14|M02AA13,C01EB16|G02CC01|M01AE01|R02AX02,M01AE01,llm-OTHER,LOW,low-confidence adjudication
310862,hydrocortisone 5 MG/ML / iodoquinol 10 MG/ML Topical Cream,SCD,G01AC01,C05AA01|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01,D07AA02,llm-OTHER,LOW,low-confidence adjudication
1189678,alanine 11.4 MG/ML / arginine 5.7 MG/ML / dibasic potassium phosphate 5.22 MG/ML / glucose 100 MG/ML / glycine 11.4 MG/ML / histidine 2.41 MG/ML / isoleucine 2.63 MG/ML / leucine 3.4 MG/ML / lysine 3.18 MG/ML / magnesium chloride 0.02 MEQ/ML / sodium chloride 0.04 MEQ/ML / threonine 2.3 MG/ML / tryptophan 0.99 MG/ML / tyrosine 0.22 MG/ML / valine 2.52 MG/ML Injectable Solution [Travasol 5.5 % in Dextrose],SBD,B05CX03|B05XB03|N06AX02,A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA03|B05XA11|B05XB01|B05XB03|N06AX02|V04CA02|V06DC01,B05BA01,llm-OTHER,LOW,low-confidence adjudication
211848,cysteine 3.5 MG/ML / inositol 8.3 MG/ML / methionine 8.3 MG/ML / sodium propionate 5 MG/ML / urea 83.4 MG/ML Vaginal Cream [Amino-Cerv],SBD,A11HA07|S01AX10|V03AB26,A11HA07|B05BC02|C04AC03|D02AE01|S01AX10|V03AB26|V04CX05,S01AX10,llm-OTHER,LOW,low-confidence adjudication
2170427,benzocaine 65 MG/ML / menthol 1 MG/ML / zinc chloride 1.2 MG/ML Mucosal Spray,SCD,B05XA12,C05AD|D04AB|N01BA,N01BA,llm-KEEP_CURRENT,LOW,low-confidence adjudication
485560,benzocaine 50 MG/ML / zinc chloride 1 MG/ML Mucous Membrane Topical Solution,SCD,B05XA12,A01AD,A01AD,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1148636,histamine dihydrochloride 0.28 MG/ML / menthol 45.7 MG/ML Topical Cream [ActivOn Arthritis],SBD,V04CG03,L03AX14,L03AX14,llm-KEEP_CURRENT,LOW,low-confidence adjudication
800106,alanine 4.22 MG/ML / arginine 4.32 MG/ML / aspartate 2.98 MG/ML / glucose 200 MG/ML / glutamate 3.14 MG/ML / glycine 2.12 MG/ML / histidine 1.28 MG/ML / isoleucine 2.8 MG/ML / leucine 4.25 MG/ML / lysine 4.46 MG/ML / methionine 0.73 MG/ML / phenylalanine 1.26 MG/ML / proline 3.07 MG/ML / serine 2.25 MG/ML / threonine 1.7 MG/ML / tryptophan 0.85 MG/ML / tyrosine 1.15 MG/ML / valine 2.12 MG/ML Injectable Solution,SCD,B05CX03|B05XB03|N06AX02|V03AB26,A09AB01|B05CX01|B05CX03|B05XB01|B05XB03|N06AX02|V03AB26|V04CA02|V06DC01,B05BA01,llm-OTHER,LOW,low-confidence adjudication
978070,acetic acid 0.00921 MG/MG / glycerin 0.05 MG/MG / oxyquinoline 0.00025 MG/MG / ricinoleic acid 0.007 MG/MG Vaginal Gel,SCD,A06AX01|G01AD02|S02AA10,G01AC30|G01AD02,G01AD02,llm-OTHER,LOW,low-confidence adjudication
312100,aspirin 324 MG / caffeine 32 MG / ipecac 2.43 MG / opium 2.43 MG Oral Capsule,SCD,N06BC01,A01AD05|A07DA02|B01AC06|N02AA02|N02BA01|N06BC01|R05CA04,N02BA01|N06BC01|A07DA02|R05CA04,llm-OTHER,LOW,low-confidence adjudication
644148,sodium chloride 26.5 MG/ML Nasal Spray,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,R01AX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
701128,hydrocortisone 20 MG/ML / iodoquinol 10 MG/ML Rectal Cream [Lodocortisone],SBD,G01AC01,A07EA02|C05AA01|D07AA02|D07XA01|G01AC01,C05AA01,llm-OTHER,LOW,low-confidence adjudication
800662,"glucose 50 MG/ML / potassium chloride 0.0149 MEQ/ML / potassium lactate 0.02 MEQ/ML / sodium chloride 0.025 MEQ/ML / sodium phosphate, monobasic 2.07 MG/ML Injectable Solution",SCD,B05XA15,A12BA01|A12CA01|B05CB01|B05CX01|B05XA01|B05XA03|B05XA15|V04CA02|V06DC01,A12BA01|A12CA01|B05CB01|B05CX01|B05XA01|B05XA03|B05XA15|V04CA02|V06DC01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
213125,scopolamine 0.4 MG Oral Tablet [Scopace],SBD,A03BB01|A04AD01|N05CM05,A04AD01|N05CM05,A04AD01,llm-OTHER,LOW,low-confidence adjudication
1000137,medroxyprogesterone acetate 2.5 MG Oral Tablet [Cycrin],SBD,L02AB02,G03AC06|G03DA02|L02AB02,G03DA02,llm-OTHER,LOW,low-confidence adjudication
1000373,medroxyprogesterone acetate 100 MG/ML Injectable Suspension,SCD,G03DA02|L02AB02,G03AC06|G03DA02|L02AB02,G03AC06|G03DA02|L02AB02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1046307,gentamicin 3 MG/ML Ophthalmic Solution [Garamycin],SBD,D06AX07|S03AA06,S01AA11|S03AA06,S01AA11,llm-OTHER,LOW,low-confidence adjudication
248328,sodium chloride Nasal Gel,SCDF,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,R01AX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
312997,sodium chloride 9 MG/ML Inhalation Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,R01AX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1115980,ephedrine hydrochloride 1.6 MG/ML / potassium iodide 30 MG/ML Oral Solution,SCD,R01AA03|R03CA02,C01CA26|R03CA02|R05CA02|V03AB21,R03CA02|R05CA02,llm-OTHER,LOW,low-confidence adjudication
1046961,atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet [Spasmolin],SBD,A03BA03|N03AA02,A03BA01|A03BA03|A04AD01|N03AA02|N05CM05,A03BA03|N03AA02,llm-OTHER,LOW,low-confidence adjudication
900580,sodium chloride 30 MG/ML Nasal Spray [Simply Saline],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01|B05XA03,R01AX,llm-OTHER,LOW,low-confidence adjudication
899228,calcium lactate 0.0065 MEQ/ML / glucose 95.6 MG/ML / magnesium citrate 0.002 MEQ/ML / potassium chloride 0.0204 MEQ/ML / sodium chloride 0.198 MEQ/ML Oral Solution,SCD,A12AA05,A06AD19|A12AA05|A12BA01|A12CA01|A12CC04|B05CB01|B05CB03|B05CX01|V04CA02|V06DC01,A06AD19|A12AA05|A12BA01|A12CA01|A12CC04|B05CB01|B05CB03|B05CX01|V04CA02|V06DC01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
205795,gentamicin 3 MG/ML Ophthalmic Solution [Genoptic],SBD,D06AX07|S03AA06,S01AA11|S03AA06,S01AA11,llm-OTHER,LOW,low-confidence adjudication
308390,ascorbic acid 30 MG / niacin 50 MG Oral Tablet,SCD,A11GA01,A11GA01|C04AC01|C10AD02,A11GA01|C10AD02,llm-OTHER,LOW,low-confidence adjudication
207334,papaverine 150 MG Extended Release Oral Capsule [Papacon],SBD,G04BE02,A03AD01|G04BE02,A03AD01,llm-OTHER,LOW,low-confidence adjudication
806392,calcium chloride 0.004 MEQ/ML / magnesium chloride 0.003 MEQ/ML / potassium chloride 0.01 MEQ/ML / sodium acetate 0.0475 MEQ/ML / sodium chloride 0.109 MEQ/ML / sodium citrate 0.012 MEQ/ML Ophthalmic Solution,SCD,B05CB02|B05XA08,S01KX,S01KX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1091387,histamine dihydrochloride 0.25 MG/ML Topical Cream,SCD,V04CG03,M02AX,M02AX10,llm-OTHER,LOW,low-confidence adjudication
1192857,sodium chloride 26 MG/ML Nasal Spray [Nasal Asalt],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01|B05XA03,R01AX,llm-OTHER,LOW,low-confidence adjudication
312971,sodium bicarbonate 460 MG / tartaric acid 420 MG Oral Granules,SCD,B05CB04|B05XA02,B05CB04,B05CB04,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1000588,malachite green 0.0001 MG/ML / metronidazole 0.005 MG/ML / microcrystalline cellulose 0.00763 MG/ML / trichlorfon 0.00025 MG/ML Topical Solution [Sentry AQ Mardel Clout],SBD,P02BB01,D06BX01,D06BX01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1046817,atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet [Antispas],SBD,A03BA03|N03AA02,A03BA01|A03BA03|A04AD01|N03AA02|N05CM05,A03BA03|N03AA02,llm-OTHER,LOW,low-confidence adjudication
1046789,atropine sulfate 0.00388 MG/ML / hyoscyamine sulfate 0.0207 MG/ML / phenobarbital 3.24 MG/ML / scopolamine hydrobromide 0.0013 MG/ML Oral Solution [Barophen],SBD,A03BA03|N03AA02,A03BA01|A03BA03|A04AD01|N03AA02|N05CM05,A03BA03|N03AA02,llm-OTHER,LOW,low-confidence adjudication
1014195,chloroxylenol 1 MG/ML / pramoxine hydrochloride 10 MG/ML Otic Solution,SCD,D08AE05,S02AA,D08AE05|D04AB07,llm-OTHER,LOW,low-confidence adjudication
1242785,sodium chloride 0.642 MEQ/ML Oral Spray [Aqua Maris],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01,A12CA01,llm-OTHER,LOW,low-confidence adjudication
828293,calcium carbonate 600 MG / cholecalciferol 400 UNT / folic acid 1.6 MG / hydroxocobalamin 0.425 MG Oral Tablet,SCD,A11CC05|B03BB01,A02AC01|A11CC05|A12AA04|B03BA03|B03BB01|V03AB33,A11AA,llm-OTHER,LOW,low-confidence adjudication
307710,acetic acid 20 MG/ML / desonide 0.5 MG/ML Otic Solution,SCD,G01AD02|S02AA10,S02AA10,S02AA10|D07AB08,llm-OTHER,LOW,low-confidence adjudication
209304,citric acid 66.8 MG/ML / potassium citrate 220 MG/ML Oral Solution [Cytra-K],SBD,A09AB04|A12BA02,G04BC,G04BC,llm-KEEP_CURRENT,LOW,low-confidence adjudication
205073,chromous chloride 0.002 MG/ML / copper sulfate 0.2 MG/ML / manganese chloride 0.16 MG/ML / zinc chloride 0.8 MG/ML Injectable Solution,SCD,B05XA12|V03AB20,B05BB,B05XA31,llm-OTHER,LOW,low-confidence adjudication
1300293,histamine dihydrochloride 1 MG/ML / menthol 30 MG/ML Topical Cream [Alo],SBD,V04CG03,L03AX14,L03AX14,llm-KEEP_CURRENT,LOW,low-confidence adjudication
308081,aluminum hydroxide 0.09 MG/MG Topical Gel,SCD,A02AB01,A02AB01|A02AB02,A02AB01|A02AB02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1368022,aluminum hydroxide 0.012 MG/MG Topical Ointment,SCD,A02AB01,D02AX,,llm-OTHER,LOW,no WHO code (LLM)
706943,sodium chloride 70 MG/ML Inhalation Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,,llm-OTHER,MED,no WHO code (LLM)
800213,"alanine 6.95 MG/ML / arginine 7.13 MG/ML / aspartate 4.9 MG/ML / glutamate 5.17 MG/ML / glycine 3.5 MG/ML / histidine 2.1 MG/ML / isoleucine 4.62 MG/ML / leucine 7 MG/ML / lysine 7.35 MG/ML / methionine 1.2 MG/ML / phenylalanine 2.09 MG/ML / proline 5.05 MG/ML / serine 3.71 MG/ML / threonine 2.8 MG/ML / tryptophan 1.4 MG/ML / tyrosine 1.89 MG/ML / valine 3.5 MG/ML Injectable Solution [Aminosyn II 7 %, Sulfite-Free]",SBD,B05CX03|B05XB03|N06AX02|V03AB26,A09AB01|B05CX03|B05XB01|B05XB03|N06AX02|V03AB26,A09AB01|B05CX03|B05XB01|B05XB03|N06AX02|V03AB26,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1089023,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 4.29 MG/ML Oral Suspension [Zodryl DEC],SBD,R01BA02|R05CA03|R05DA04,R05FA02,R05FA02|R01BA02|R05CA03|R05DA04,llm-OTHER,LOW,low-confidence adjudication
895045,fructose 278 MG/ML / glucose 290 MG/ML / sodium citrate 61.4 MG/ML Oral Solution,SCD,B05CB02|V06DC02,B05CB02|B05CX01|V04CA02|V06DC01|V06DC02,B05CB02|B05CX01|V04CA02|V06DC01|V06DC02,llm-KEEP_CURRENT,LOW,low-confidence adjudication
707251,sodium chloride 6.5 MG/ML Nasal Spray,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,,llm-OTHER,MED,no WHO code (LLM)
996712,codeine phosphate 20 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 20 MG Oral Tablet [Ambifed-G CD],SBD,R01BA02|R05CA03|R05DA04,R05FA02,R05FA02|R01BA02|R05CA03|R05DA04,llm-OTHER,LOW,low-confidence adjudication
801878,calcium chloride 0.00014 MEQ/ML / glucose 1.4 MG/ML / magnesium chloride 0.0000245 MEQ/ML / sodium chloride 0.00368 MEQ/ML / sodium lactate 0.0016 MEQ/ML Intraperitoneal Solution [Dianeal PD-2/3.5],SBD,A12CA01|A12CC01|B05BA03|B05BB01|B05CB01|B05XA03|B05XA07|G01AD01|S01XA03|V06DC01,A12AA07|A12CA01|A12CC01|B05CB01|B05CX01|B05XA03|B05XA07|B05XA11|V04CA02|V06DC01,A12AA07|A12CA01|A12CC01|B05CB01|B05CX01|B05XA03|B05XA07|B05XA11|V04CA02|V06DC01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
237631,glucose 25 MG/ML Injectable Solution,SCD,B05BA03,B05CX01|V04CA02|V06DC01,B05CX01|V04CA02|V06DC01,llm-KEEP_CURRENT,LOW,low-confidence adjudication
806013,ibuprofen 100 MG Oral Tablet [Motrin],SBD,M01AE01|M01AE14|M02AA13,C01EB16|G02CC01|M01AE01|R02AX02,C01EB16|M01AE01|M01AE14,llm-OTHER,LOW,low-confidence adjudication
1044936,dimethicone 10 MG/ML Topical Cream [Cool bottoms],SBD,P03AX05,D02AA,P03AX05,llm-OTHER,LOW,low-confidence adjudication
284140,dimethicone 20 MG/ML Topical Spray,SCD,P03AX05,D02AA,P03AX05,llm-OTHER,LOW,low-confidence adjudication
1807547,sodium chloride 4.5 MG/ML Injection,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01|B05XA03,B05CB01|B05XA03,llm-OTHER,LOW,low-confidence adjudication
1244968,sodium chloride 35 MG/ML Inhalation Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,,llm-OTHER,MED,no WHO code (LLM)
1300288,histamine dihydrochloride 1 MG/ML / menthol 30 MG/ML Topical Cream,SCD,V04CG03,L03AX14,,llm-OTHER,LOW,no WHO code (LLM)
1305902,"fibrinogen, human 115 MG/ML / thrombin, human 600 UNT/ML Topical Solution [Tisseel]",SBD,B05XA07,B02BB01|B02BC06|B02BD30,B02BB01|B02BC06|B02BD30,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1648217,ivermectin 0.0187 MG/MG / praziquantel 0.234 MG/MG Oral Paste [DuoCare],SBD,P02BA01,D11AX22|P02BA01|P02CF01,P02BA01|P02CF01,llm-OTHER,LOW,low-confidence adjudication
1942846,bismuth subgallate 200 MG Chewable Tablet [Devrom],SBD,C05AX02,A07BB,,llm-OTHER,MED,no WHO code (LLM)
904311,potassium chloride 0.4 MEQ / sodium chloride 7.69 MEQ Oral Tablet [Thermotabs],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CX,,llm-OTHER,LOW,no WHO code (LLM)
310355,flumethiazide 400 MG / potassium chloride 5.4 MEQ / Rauwolfia serpentina (USP) 50 MG Delayed Release Oral Tablet,SCD,C02AA04,C02LA08|A12BA01,C02LA08|A12BA01|C02AA04,llm-OTHER,LOW,low-confidence adjudication
201415,isosorbide dinitrate 5 MG Sublingual Tablet [Isordil],SBD,C01DA08,C01DA08|C05AE02,C01DA08,llm-OTHER,LOW,low-confidence adjudication
895952,ferrous sulfate 840 MG/MG Topical Powder,SCD,B03AA01|B03AA07,B03AA07,,llm-OTHER,LOW,no WHO code (LLM)
309699,dexamethasone 0.084 MG/ACTUAT Metered Dose Inhaler,SCD,H02AB02|S01BA01,A01AC02|C05AA09|D07AB19|D07XB05|D10AA03|H02AB02|R01AD03|S01BA01|S01CB01|S02BA06|S03BA01,R01AD03,llm-OTHER,LOW,low-confidence adjudication
315096,ethinyl estradiol 0.05 MG / ethynodiol diacetate 1 MG Oral Tablet,SCD,G03DC06,G03AA01,G03AA01|G03DC06,llm-OTHER,LOW,low-confidence adjudication
847628,calcium chloride 0.2 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Irrigation Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|B05XA07|G01AD01|S01XA03,V07AB,,llm-OTHER,LOW,no WHO code (LLM)
1251398,sodium chloride 6.5 MG/ML Nasal Spray [Ocean brand of sodium chloride],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,R01AX10,llm-OTHER,LOW,low-confidence adjudication
199891,magnesium aspartate 60 MG / potassium aspartate 60 MG Oral Capsule,SCD,A12CC05,A12CX,A12CX,llm-KEEP_CURRENT,LOW,low-confidence adjudication
2118078,glycerin 200 MG/ML Topical Solution,SCD,A06AX01,A06AG04|A06AX01,D02AX,llm-OTHER,LOW,low-confidence adjudication
1049306,fructose 175 MG / glucose 968 MG / sodium citrate 230 MG Chewable Tablet,SCD,B05CB02|V06DC02,A04AD,V06DC02,llm-OTHER,LOW,low-confidence adjudication
643142,lysine 500 MG Oral Tablet [L-Formula],SBD,B05XB03,V06DD,V06DD,llm-KEEP_CURRENT,LOW,low-confidence adjudication
707375,sodium chloride 6.5 MG/ML Nasal Spray [Sea Mist],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A12CA01|B05CB01|B05XA03,R01AX10,llm-OTHER,LOW,low-confidence adjudication
312223,4-aminobenzoic acid 100 MG Oral Tablet,SCD,D02BA01,A11HA,A11HA,llm-KEEP_CURRENT,LOW,low-confidence adjudication
1304564,alpha-tocopherol acetate 1 UNT/ML / ascorbic acid 20 MG/ML / biotin 0.006 MG/ML / cholecalciferol 20 UNT/ML / dexpanthenol 1.5 MG/ML / folic acid 0.06 MG/ML / niacinamide 4 MG/ML / pyridoxine hydrochloride 0.6 MG/ML / riboflavin 0.36 MG/ML / thiamine hydrochloride 0.6 MG/ML / vitamin A palmitate 330 UNT/ML / vitamin B12 0.0005 MG/ML / vitamin K1 0.015 MG/ML Injectable Solution [Infuvite],SBD,A11CA01|A11CC05|A11DA01|A11GA01|A11HA01|A11HA02|A11HA04|A11HA05|B02BA01|B03BA01|B03BB01,A11JA,,llm-OTHER,MED,no WHO code (LLM)
1363423,gentamicin 100 MG/ML Irrigation Solution [Gentaved 100],SBD,D06AX07|S03AA06,S01AA11,D06AX07,llm-OTHER,LOW,low-confidence adjudication
1487154,glycerin 400 MG/ML Medicated Pad [Dynamiclear Oro],SBD,A06AX01,A06AG04|A06AX01,,llm-OTHER,LOW,no WHO code (LLM)
630923,zinc oxide 113 MG/ML Topical Cream,SCD,C05AX04,D02AB,,llm-OTHER,MED,no WHO code (LLM)
968817,dimethicone 200 MG/ML / zinc oxide 250 MG/ML Topical Spray,SCD,P03AX05,D02AA,,llm-OTHER,MED,no WHO code (LLM)
891706,ascorbic acid 60 MG / cuprous oxide 2 MG / dl-alpha tocopheryl acetate 30 MG / lutein 6 MG / zinc oxide 15 MG Oral Capsule,SCD,A11GA01|A11HA03,A11JB,,llm-OTHER,MED,no WHO code (LLM)
891719,ascorbic acid 200 MG / beta carotene 1000 UNT / cuprous oxide 2 MG / dl-alpha tocopheryl acetate 60 UNT / lutein 2 MG / sodium selenate 0.055 MG / zinc oxide 40 MG Oral Tablet [Ocuvite],SBD,A11GA01|A11HA03|A12CE01,A11JB,,llm-OTHER,MED,no WHO code (LLM)
198580,choline 648 MG Oral Tablet,SCD,N02BA03,N02BA03|N07AX02,N02BA03,llm-USE_ATCPROD,LOW,low-confidence adjudication
484491,aspirin 81 MG / carbidopa 3.125 MG Oral Tablet,SCD,B01AC06|N02BA01|N02BA51,A01AD05|B01AC06|N02BA01,B01AC06,llm-OTHER,LOW,low-confidence adjudication
307830,allantoin 140 MG / aminacrine 14 MG / sulfanilamide 1050 MG Vaginal Insert,SCD,D08AA02,D06BA05|D08AA02|J01EB06,D08AA02,llm-OTHER,LOW,low-confidence adjudication
2048004,histamine dihydrochloride 1 MG/ML Topical Spray,SCD,V04CG03,M02AX,M02AX10,llm-OTHER,LOW,low-confidence adjudication
1093331,niacinamide 20 MG/ML Topical Cream,SCD,A11HA01,D10AX,,llm-OTHER,MED,no WHO code (LLM)
1737554,petrolatum 0.57 MG/MG / zinc oxide 0.17 MG/MG Paste [Z-Guard],SBD,C05AX04,D02AB,,llm-OTHER,MED,no WHO code (LLM)
857533,aspirin 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Panasal],SBD,R05DA03,A01AD05|B01AC06|N02BA01|R05DA03,R05DA03,llm-OTHER,LOW,low-confidence adjudication
1425912,calamine 0.02 MG/MG / menthol 0.0045 MG/MG / zinc oxide 0.18 MG/MG Topical Ointment [Lantiseptic Multi-Purpose],SBD,C05AX04,D04AX,,llm-OTHER,MED,no WHO code (LLM)
1145012,allantoin 2 MG/ML / aminacrine hydrochloride 2 MG/ML / sulfanilamide 150 MG/ML Vaginal Cream,SCD,D08AA02,D06BA05|D08AA02|J01EB06,D08AA02,llm-OTHER,LOW,low-confidence adjudication
477174,zinc oxide 0.16 MG/MG Paste,SCD,C05AX04,D02AB,,llm-OTHER,MED,no WHO code (LLM)
607076,magnesium oxide 600 MG Oral Capsule [MagGel],SBD,A02AA02|A02AA04,A02AA02|A06AD02|A12CC10,A12CC10,llm-OTHER,LOW,low-confidence adjudication
312097,aspirin 150 MG / caffeine 8 MG / ipecac 1.5 MG / opium 1.5 MG Oral Tablet,SCD,N06BC01,A01AD05|A07DA02|B01AC06|N02AA02|N02BA01|N06BC01|R05CA04,N02AA02|N02BA01|R05CA03|N06BC01,llm-OTHER,LOW,low-confidence adjudication
1793908,histamine dihydrochloride 0.5 MG/ML / menthol 15 MG/ML Topical Cream,SCD,V04CG03,L03AX14,L03AX14,llm-KEEP_CURRENT,LOW,low-confidence adjudication
