rxcui,drug_name,tty,production,prev_final,new_final,fix_source,confidence,changed_this_pass
1298806,3 ML lidocaine hydrochloride 100 MG/ML Prefilled Syringe [LidoPen],SBD,D04AB01|N01BB02|R02AD02,C01BB01|C05AD01|N01BB02,C01BB01|C05AD01|N01BB02,llm-KEEP_CURRENT,MED,no
1356529,ivermectin 0.034 MG / praziquantel 28.5 MG / pyrantel 28.5 MG Chewable Tablet [Quadriguard],SBD,P02BA01|P02CC01,P02BA01|P02CC01|P02CF01,P02BA01|P02CC01|P02CF01,llm-KEEP_CURRENT,MED,no
1356997,84 HR estradiol 0.00208 MG/HR Transdermal System [Minivelle],SBD,G03CA03,G03CA03,G03CA03,unchanged,n/a,no
1359282,{1 (13.5 ML) (benzoyl peroxide 100 MG/ML Topical Cream [Clearasil]) / 1 (150 ML) (salicylic acid 20 MG/ML Medicated Liquid Soap [Clearasil Acne Control]) / 1 (45 ML) (salicylic acid 5 MG/ML Topical Lotion [Clearasil Daily Clear Hydrating Lotion]) } Pack [Clearasil Daily Clear Clear Skin],BPCK,D10AE01,D10AE01,D10AE01,unchanged,n/a,no
1360476,nitroglycerin 0.3 MG/HR Transdermal System [Nitrodisc],SBD,C01DA02|C05AE01,C01DA02|C05AE01,C01DA02|C05AE01,unchanged,n/a,no
1370744,iodine 50 MG/ML Topical Solution [A & L Laboratories 10 Mix 10],SBD,D08AG03,D08AG03,D08AG03,unchanged,n/a,no
1371353,clindamycin 25 MG/ML Oral Solution [ANTIROBE],SBD,D10AF01|J01FF01,J01FF01,J01FF01,llm-KEEP_CURRENT,MED,no
1421069,levothyroxine sodium 0.5 MG Oral Tablet [ThyroKare],SBD,H03AA01,H03AA01,H03AA01,unchanged,n/a,no
1423123,{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Daysee 91 Day],BPCK,G03AA07|G03CA01,G03AA07,G03AA07,llm-KEEP_CURRENT,HIGH,no
1424872,chlophedianol hydrochloride 24 MG / chlorpheniramine maleate 3.5 MG / phenylephrine hydrochloride 10 MG Oral Tablet,SCD,R05DB10|R06AB04,R05DB10,R05DB10,atcprod-confirmed,HIGH,no
1428138,chlophedianol hydrochloride 6.25 MG/ML / thonzylamine hydrochloride 6.25 MG/ML Oral Solution,SCD,R05DB10,R05DB10,R05DB10,unchanged,n/a,no
1432967,benzethonium chloride 2 MG/ML Topical Spray [Septicare],SBD,R02AA09,D08AJ08,D08AJ08,llm-KEEP_CURRENT,HIGH,no
1437982,undecylenic acid 30 MG/ML Topical Solution [Fiore],SBD,D01AE04|D01AE20,D01AE04,D01AE04,atcprod-confirmed,HIGH,no
197891,lithium carbonate 300 MG Extended Release Oral Tablet,SCD,N05AN01,N05AN01,N05AN01,unchanged,n/a,no
197890,lithium carbonate 300 MG Oral Tablet,SCD,N05AN01,N05AN01,N05AN01,unchanged,n/a,no
198051,omeprazole 20 MG Delayed Release Oral Capsule,SCD,A02BC01,A02BC01,A02BC01,unchanged,n/a,no
1439788,benzoyl peroxide 95 MG/ML Topical Foam [Riax],SBD,D10AE01,D10AE01,D10AE01,unchanged,n/a,no
1483319,rabeprazole sodium 10 MG Oral Granules [Aciphex],SBD,A02BC04,A02BC04,A02BC04,unchanged,n/a,no
1491830,hydrogen peroxide 5 MG/ML Topical Solution [Perox-50],SBD,A01AB02|D08AX01,D08AX01,D08AX01,llm-KEEP_CURRENT,MED,no
1362942,tolnaftate 10 MG/ML Topical Oil [Molecular AF],SBD,D01AE18,D01AE18,D01AE18,unchanged,n/a,no
1730078,2 ML chlorpromazine hydrochloride 25 MG/ML Injection,SCD,N05AA01,N05AA01,N05AA01,unchanged,n/a,no
1734348,100 ML ropivacaine hydrochloride 2 MG/ML Injection [Naropin],SBD,N01BB09,N01BB09,N01BB09,unchanged,n/a,no
1739782,brivaracetam 75 MG Oral Tablet [Briviact],SBD,N03AX23,N03AX23,N03AX23,unchanged,n/a,no
1739887,atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet [Phenohytro],SBD,A03BA03|N03AA02,A03CB,A03CB31,llm-OTHER,MED,YES
1741747,{1 (cariprazine 1.5 MG Oral Capsule [Vraylar]) / 6 (cariprazine 3 MG Oral Capsule [Vraylar]) } Pack [Vraylar 1.5/3 Mixed Pack],BPCK,N05AX15,N05AX15,N05AX15,unchanged,n/a,no
1743950,10 ML dopamine hydrochloride 80 MG/ML Injection,SCD,C01CA04,C01CA04,C01CA04,unchanged,n/a,no
1858981,North American coral snake antivenin 250 UNT Injection,SCD,J06AA03,J06AA03,J06AA03,unchanged,n/a,no
1860414,{21 (ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Afirmelle 28 Day],BPCK,G03AC03|G03CA01,G03AA07,G03AA07,llm-KEEP_CURRENT,HIGH,no
1945072,{49 (dexamethasone 1.5 MG Oral Tablet [Decadron]) } Pack [Decadron DP 12 Day],BPCK,H02AB02|S01BA01,A01AC02|C05AA09|D07AB19|D07XB05|D10AA03|H02AB02|R01AD03|S01BA01|S01CB01|S02BA06|S03BA01,H02AB02,llm-OTHER,HIGH,YES
1946525,Matrix Delivery 24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet,SCD,N02AX02,N02AX02,N02AX02,unchanged,n/a,no
197412,bromocriptine 5 MG Oral Capsule,SCD,N04BC01,N04BC01,N04BC01,unchanged,n/a,no
197431,calcifediol 0.02 MG Oral Capsule,SCD,A11CC06,H05BX05,H05BX05,atcprod-confirmed,HIGH,no
1928864,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine bitartrate 0.018 MG/ML Cartridge [Ultacan],SBD,N01BB08,N01BB08,N01BB08,unchanged,n/a,no
1241972,12 HR chlorpheniramine maleate 4 MG / pseudoephedrine hydrochloride 60 MG Extended Release Oral Capsule [Kronofed-A],SBD,R01BA02|R06AB04,R01BA02|R06AB04,R01BA02|R06AB04,unchanged,n/a,no
1242240,chlorpheniramine maleate 2 MG / phenylephrine hydrochloride 5 MG Oral Tablet,SCD,R06AB04,R01BA53,R01BA03|R06AB04,llm-OTHER,HIGH,YES
1358632,guaifenesin 400 MG / phenylpropanolamine hydrochloride 75 MG Extended Release Oral Capsule [Despec CR],SBD,R01BA01|R05CA03,R01BA01|R05CA03,R01BA01|R05CA03,unchanged,n/a,no
1360339,nitroglycerin 0.4 MG/HR Transdermal System [Deponit],SBD,C01DA02|C05AE01,C01DA02|C05AE01,C01DA02|C05AE01,unchanged,n/a,no
1362048,"1 ML heparin sodium, porcine 10 UNT/ML Prefilled Syringe",SCD,B01AB01,B01AB01,B01AB01,unchanged,n/a,no
1363305,pseudoephedrine sulfate 60 MG Oral Tablet [Chlor-Trimeton Nasal Decongestant],SBD,R01BA02,R01BA02,R01BA02,unchanged,n/a,no
1367428,12 HR naproxen sodium 220 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet [Aleve-D],SBD,R01BA02,R01BA02,R01BA02,unchanged,n/a,no
1368936,theanine 50 MG Disintegrating Oral Tablet,SCD,N05CH01,N05CH01,N05CH01,unchanged,n/a,no
1369770,{7 (ethinyl estradiol 0.035 MG / norgestimate 0.18 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.215 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Tri-Estarylla 28 Day],BPCK,G03AA11,G03AA11,G03AA11,unchanged,n/a,no
1371412,ubidecarenone 50 MG Chewable Tablet,SCD,C01EB09,C01EB09,C01EB09,unchanged,n/a,no
1421633,dextromethorphan hydrobromide 1 MG/ML / guaifenesin 20 MG/ML / phenylpropanolamine hydrochloride 1.25 MG/ML Oral Solution,SCD,R01BA01|R05CA03|R05DA09,R01BA01|R05CA03|R05DA09,R01BA01|R05CA03|R05DA09,unchanged,n/a,no
1423678,ivermectin 0.068 MG / pyrantel 57 MG Chewable Tablet [Tri-Heart Plus],SBD,P02CC01,P02CC01,P02CC01,unchanged,n/a,no
1424024,dextromethorphan hydrobromide 2 MG/ML / guaiacolsulfonate 15 MG/ML Oral Solution,SCD,R05CA09|R05DA09,R05CA09|R05DA09,R05CA09|R05DA09,unchanged,n/a,no
1424254,pramoxine hydrochloride 10 MG/ML Medicated Shampoo [Dermal-Soothe],SBD,C05AD07|D04AB07,C05AD07|D04AB07,C05AD07|D04AB07,unchanged,n/a,no
1431286,acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule,SCD,N02BE01|N06BC01|R05DA04,N02BE71,N02BE01|N06BC01|R05DA04,llm-OTHER,MED,YES
1484901,{1 (355 ML) (acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 0.667 MG/ML / phenylephrine hydrochloride 0.333 MG/ML Oral Solution) / 1 (355 ML) (acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) } Pack,GPCK,N02BE01|R05DA09|R06AA09,N02BE01|R05DA09|R06AA09,N02BE01|R05DA09|R06AA09,unchanged,n/a,no
1488619,{1 (1 ML leuprolide acetate 3.75 MG/ML Prefilled Syringe [Lupron]) / 30 (norethindrone acetate 5 MG Oral Tablet) } Pack [Lupaneta Pack 1-Month],BPCK,G03DC02|L02AE02,G03DC02|L02AE02,G03DC02|L02AE02,unchanged,n/a,no
1494771,Sprinkle 24 HR topiramate 150 MG Extended Release Oral Capsule [Qudexy],SBD,N03AX11,N03AX11,N03AX11,unchanged,n/a,no
1495106,salicylic acid 2 MG/ML Otic Suspension [Epi-Otic Advanced],SBD,D01AE12|N02BA04,D01AE12|N02BA04|N02BA12|S01BC08,D01AE12,llm-OTHER,MED,YES
1535144,12 HR chlorpheniramine maleate 4 MG / methscopolamine nitrate 1.25 MG / phenylephrine hydrochloride 10 MG Extended Release Oral Tablet,SCD,R06AB04,A03BB03|R01BA03|R06AB04,A03BB03|R01BA03|R06AB04,llm-KEEP_CURRENT,MED,no
1540854,bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Vetropolycin],SBD,A07AA01|D06AX04|S01AA03,S01AA03|S01AA18|S01AA32|S03AA01|S03AA03,S01AA30,llm-OTHER,MED,YES
1542813,tetracycline hydrochloride 0.03 MG/MG Topical Ointment,SCD,D06AA04|J01AA07,D06AA04,D06AA04,atcprod-confirmed,HIGH,no
1548705,prednisolone acetate 10 MG/ML Ophthalmic Suspension [Econopred Plus],SBD,A07EA01|H02AB06|S01BA04|S03BA02,S01BA04|S01CB02|S03BA02,S01BA04,llm-OTHER,HIGH,YES
1591943,ledipasvir 90 MG / sofosbuvir 400 MG Oral Tablet,SCD,J05AP51,J05AP51,J05AP51,unchanged,n/a,no
1595664,meclizine hydrochloride 25 MG Oral Tablet [Trav-L-Tabs],SBD,R06AE05,R06AE05,R06AE05,unchanged,n/a,no
1535228,dexmedetomidine hydrochloride 0.5 MG/ML Injectable Solution,SCD,N05CM18,N05CM18,N05CM18,unchanged,n/a,no
1603490,pentobarbital sodium 390 MG/ML Injectable Solution [Fatal-Plus],SBD,N05CA01,N05CA01,N05CA01,unchanged,n/a,no
1298836,isoxsuprine hydrochloride 10 MG Oral Tablet [Vasodilan],SBD,C04AA01,C04AA01,C04AA01,unchanged,n/a,no
1302368,sodium fluoride 1.1 MG Chewable Tablet [Nafrinse],SBD,A01AA01,A01AA01,A01AA01,unchanged,n/a,no
1357940,dexchlorpheniramine maleate 0.4 MG/ML / hydrocodone bitartrate 0.8 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution,SCD,R05DA03|R06AB02,R01BA03|R05DA03|R06AB02,R01BA03|R05DA03|R06AB02,llm-KEEP_CURRENT,MED,no
1360181,methohexital sodium 10 MG/ML Prefilled Syringe,SCD,N01AF01|N05CA15,N01AF01|N05CA15,N01AF01|N05CA15,unchanged,n/a,no
1544571,"{30 (insulin, regular, human 4 UNT Inhalation Powder [Afrezza]) / 60 (insulin, regular, human 8 UNT Inhalation Powder [Afrezza]) } Pack [Afrezza 90 - 30 (4 UNT), 60 (8 UNT)]",BPCK,A10AF01,A10AF01,A10AF01,unchanged,n/a,no
1314403,guaifenesin 500 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet,SCD,R01BA02|R05CA03,R01BA02|R05CA03,R01BA02|R05CA03,unchanged,n/a,no
1299172,levothyroxine sodium 0.5 MG Chewable Tablet,SCD,H03AA01,H03AA01,H03AA01,unchanged,n/a,no
1300483,methyl aminolevulinate hydrochloride 168 MG/ML Topical Cream [Metvixia],SBD,L01XD03,L01XD03,L01XD03,unchanged,n/a,no
1372909,progesterone 1380 MG Vaginal Insert [Eazi-Breed CIDR],SBD,G03DA04,G03DA04,G03DA04,unchanged,n/a,no
1648152,dexpanthenol 2 MG/ML / salicylic acid 2.5 MG/ML Topical Solution,SCD,D01AE12|N02BA04,D11AX,D11AX,llm-KEEP_CURRENT,MED,no
1540051,tiludronic acid 20 MG/ML Injectable Solution [Tildren],SBD,M05BA05,M05BA05,M05BA05,unchanged,n/a,no
1541104,salicylic acid 0.005 MG/MG Topical Gel [Dermalquench Clear],SBD,D01AE12|N02BA04,D01AE12,D01AE12,llm-KEEP_CURRENT,HIGH,no
1293474,chlorpheniramine tannate 0.9 MG/ML / phenylephrine tannate 1 MG/ML Oral Suspension [Rynatan Pediatric Reformulated Feb 2008],SBD,R06AB04,R06AB04,R06AB04,unchanged,n/a,no
198229,pyrimethamine 25 MG / sulfadoxine 500 MG Oral Tablet,SCD,P01BD01|P01BD51,P01BD01|P01BD51,P01BD01|P01BD51,unchanged,n/a,no
1800670,{48 (acetaminophen 325 MG / chlorpheniramine maleate 2 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG Oral Tablet) / 120 (acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Tablet) } Pack,GPCK,N02BE01|R05CA03|R05DA09|R06AB04,N02BE01|R05CA03|R05DA09|R06AB04,N02BE01|R05CA03|R05DA09|R06AB04,unchanged,n/a,no
1862600,{7 (ethinyl estradiol 0.035 MG / norgestimate 0.18 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.215 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Tri Femynor 28 Day],BPCK,G03AA11,G03AA11,G03AA11,unchanged,n/a,no
1874888,zinc oxide 0.085 MG/MG Topical Ointment,SCD,C05AX04,C05AX04,C05AX04,unchanged,n/a,no
1927875,pyrantel pamoate 144 MG/ML Oral Suspension [Parasitexx],SBD,P02CC01,P02CC01,P02CC01,unchanged,n/a,no
1244215,budesonide 3 MG Delayed Release Oral Capsule [Entocort],SBD,A07EA06,A07EA06|R03BA02,A07EA06,llm-KEEP_CURRENT,HIGH,YES
1248166,dehydrocholic acid 20 MG / docusate sodium 200 MG / phenolphthalein 15 MG Oral Capsule,SCD,A06AB04,A06AA02|A06AB04,A06AA02|A06AB04,llm-KEEP_CURRENT,MED,no
1250898,chlorpheniramine maleate 12 MG / methscopolamine nitrate 2.5 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet,SCD,R06AB04,A03BB03|R01BA03|R06AB04,A03BB03|R01BA03|R06AB04,llm-KEEP_CURRENT,MED,no
1300207,12 HR brompheniramine maleate 6 MG / pseudoephedrine hydrochloride 60 MG Extended Release Oral Capsule [Bromfed],SBD,R01BA02|R06AB01,R01BA02|R06AB01,R01BA02|R06AB01,unchanged,n/a,no
1307165,12 HR methscopolamine nitrate 2.5 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet [Respivent],SBD,R01BA02,A03BB03|R01BA02,A03BB03|R01BA02,llm-KEEP_CURRENT,MED,no
1312589,24 HR methylphenidate hydrochloride 5 MG/ML Extended Release Suspension [Quillivant],SBD,N06BA04,N06BA04,N06BA04,unchanged,n/a,no
1356507,dimethicone 0.02 MG/MG Topical Ointment [Blistex Silk and Shine],SBD,P03AX05,P03AX05,P03AX05,unchanged,n/a,no
1362714,mexiletine hydrochloride 200 MG Oral Capsule [Mexitil],SBD,C01BB02,C01BB02,C01BB02,unchanged,n/a,no
1366212,simethicone 125 MG Oral Tablet [Bicarsim],SBD,A03AX13,A03AX13,A03AX13,unchanged,n/a,no
1367410,ergocalciferol 1.25 MG Oral Capsule,SCD,A11CC01,A11CC01,A11CC01,unchanged,n/a,no
1372999,cefixime 400 MG Oral Capsule [Suprax],SBD,J01DD08,J01DD08,J01DD08,unchanged,n/a,no
1373045,12 HR dextromethorphan polistirex 6 MG/ML Extended Release Suspension,SCD,R05DA09,R05DA09,R05DA09,unchanged,n/a,no
1421620,amylase 164 UNT/MG / lipase 25.5 UNT/MG / protease 139 UNT/MG Oral Powder [PanaKare],SBD,A09AA01,A09AA01,A09AA01,unchanged,n/a,no
197505,cimetidine 200 MG Oral Tablet,SCD,A02BA01,A02BA01,A02BA01,unchanged,n/a,no
197581,dexamethasone 2 MG Oral Tablet,SCD,H02AB02,H02AB02,H02AB02,unchanged,n/a,no
197884,lisinopril 40 MG Oral Tablet,SCD,C09AA03,C09AA03,C09AA03,unchanged,n/a,no
197949,methsuximide 300 MG Oral Capsule,SCD,N03AD03,N03AD03,N03AD03,unchanged,n/a,no
198194,Rauwolfia serpentina (USP) 100 MG Oral Tablet,SCD,C02AA04,C02AA04,C02AA04,unchanged,n/a,no
1483571,docusate sodium 100 MG Oral Capsule [DOK],SBD,A06AA02,A06AA02,A06AA02,unchanged,n/a,no
1486200,ribavirin 200 MG Oral Tablet [Moderiba],SBD,J05AP01,J05AP01,J05AP01,unchanged,n/a,no
150795,streptokinase 300000 UNT/ML Injectable Solution [Streptase],SBD,B01AD01,B01AD01,B01AD01,unchanged,n/a,no
151124,anastrozole 1 MG Oral Tablet [Arimidex],SBD,L02BG03,L02BG03,L02BG03,unchanged,n/a,no
1536467,aspirin 325 MG / citric acid 1000 MG / sodium bicarbonate 1700 MG Effervescent Oral Tablet,SCD,A09AB04,N02BA01,N02BA01,atcprod-confirmed,HIGH,no
153656,tolcapone 200 MG Oral Tablet [Tasmar],SBD,N04BX01,N04BX01,N04BX01,unchanged,n/a,no
1537086,potassium bicarbonate 25 MEQ Effervescent Oral Tablet [K-Vescent],SBD,A12BA04,A12BA04,A12BA04,unchanged,n/a,no
1543552,belinostat 500 MG Injection [Beleodaq],SBD,L01XX49,L01XH04,L01XH04,atcprod-confirmed,HIGH,no
1597129,5000 MG testosterone 0.01 MG/MG Topical Gel,SCD,G03BA03,G03BA03,G03BA03,unchanged,n/a,no
1597127,2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel],SBD,G03BA03,G03BA03,G03BA03,unchanged,n/a,no
1364585,eltrombopag 100 MG Oral Tablet [Promacta],SBD,B02BX05,B02BX05,B02BX05,unchanged,n/a,no
617432,amoxicillin 80 MG/ML / clavulanate 11.4 MG/ML Oral Suspension [Augmentin],SBD,J01CA04,J01CR02,J01CR02,llm-KEEP_CURRENT,HIGH,no
861227,24 HR amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule,SCD,N06BA01|N06BA02,N06BA01|N06BA02,N06BA01|N06BA02,unchanged,n/a,no
687204,24 HR metronidazole 750 MG Extended Release Oral Tablet [Flagyl],SBD,A01AB17|D06BX01|P01AB01,A01AB17|J01XD01|P01AB01,P01AB01,llm-OTHER,MED,YES
727451,24 HR minocycline 45 MG Extended Release Oral Tablet [Solodyn],SBD,A01AB23|J01AA08,A01AB23|J01AA08,A01AB23|J01AA08,unchanged,n/a,no
799059,fluoxetine 20 MG Oral Capsule [Selfemra],SBD,N06AB03,N06AB03,N06AB03,unchanged,n/a,no
749866,{21 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) } Pack,GPCK,G03AA11,G03AA11,G03AA11,unchanged,n/a,no
756250,ammonium chloride 8 MG/ML / chlorpheniramine maleate 0.8 MG/ML / codeine phosphate 2 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution,SCD,R05DA04|R06AB04,G04BA01|R01BA03|R05DA04|R06AB04,G04BA01|R01BA03|R05DA04|R06AB04,llm-KEEP_CURRENT,MED,no
763236,24 HR niacin 750 MG / simvastatin 20 MG Extended Release Oral Tablet [Simcor],SBD,C10AD52,C10AD52,C10AD52,unchanged,n/a,no
801009,glucose 50 MG/ML / magnesium acetate 0.000979 MEQ/ML / potassium acetate 0.013 MEQ/ML / sodium chloride 0.04 MEQ/ML Injectable Solution [Normosol-M],SBD,B05XA17,B05BB02,B05BB02,llm-KEEP_CURRENT,HIGH,no
861208,brimonidine tartrate 1.5 MG/ML Ophthalmic Solution,SCD,S01EA05,S01EA05,S01EA05,unchanged,n/a,no
894807,morphine sulfate 5 MG Rectal Suppository,SCD,N02AA01,N02AA01,N02AA01,unchanged,n/a,no
896768,labetalol hydrochloride 300 MG Oral Tablet [Normodyne],SBD,C07AG01,C07AG01,C07AG01,unchanged,n/a,no
992432,promethazine hydrochloride 1.25 MG/ML Oral Solution,SCD,R06AD02,R06AD02,R06AD02,unchanged,n/a,no
308254,antazoline 100 MG Oral Tablet,SCD,R01AC04|R06AX05,R06AX05,R06AX05,llm-KEEP_CURRENT,MED,no
309208,Chlorpheniramine 10 MG / Pseudoephedrine 65 MG Extended Release Oral Capsule,SCD,R01BA02|R06AB04,R01BA02|R06AB04,R01BA02|R06AB04,unchanged,n/a,no
311689,mezlocillin 250 MG/ML Injectable Solution,SCD,J01CA10,J01CA10,J01CA10,unchanged,n/a,no
797955,salicylic acid 5 MG/ML Medicated Pad [Stri-Dex],SBD,D01AE12|N02BA04,D01AE12,D01AE12,atcprod-confirmed,HIGH,no
797274,clindamycin 10 MG/ML Medicated Pad,SCD,D10AF01|J01FF01,D10AF01,D10AF01,atcprod-confirmed,HIGH,no
755471,lactulose 667 MG/ML Oral Solution [Evalose],SBD,A06AD11,A06AD11,A06AD11,unchanged,n/a,no
876533,amlodipine 5 MG / telmisartan 80 MG Oral Tablet [Twynsta],SBD,C09DB04,C09DB04,C09DB04,unchanged,n/a,no
880454,benzocaine 200 MG/ML Mucous Membrane Topical Solution [Dent-O-Kain],SBD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04,D04AB04,llm-OTHER,MED,YES
898348,amlodipine 10 MG / benazepril hydrochloride 40 MG Oral Capsule [Lotrel],SBD,C09BB13,C09BB13,C09BB13,unchanged,n/a,no
905350,demeclocycline hydrochloride 150 MG Oral Capsule,SCD,J01AA01,J01AA01,J01AA01,unchanged,n/a,no
93253,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet [Maxzide],SBD,C03AA03|C03DB02,C03EA01,C03EA01,llm-KEEP_CURRENT,HIGH,no
977978,halobetasol propionate 0.0005 MG/MG Topical Ointment,SCD,D07AC21,D07AC21,D07AC21,unchanged,n/a,no
992441,promethazine hydrochloride 12.5 MG Rectal Suppository,SCD,R06AD02,R06AD02,R06AD02,unchanged,n/a,no
308486,bacitracin 0.4 UNT/MG / diperodon 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 5 UNT/MG Topical Ointment,SCD,A07AA01|D06AX04|S01AA03,D06AX04|D06AX05,D06AX04|D06AX05,llm-KEEP_CURRENT,HIGH,no
310312,ferrous fumarate 275 MG Extended Release Oral Capsule,SCD,B03AA02,B03AA02,B03AA02,unchanged,n/a,no
310878,hydrocortisone 1.67 MG/ML Enema,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A07EA02,A07EA02,atcprod-confirmed,HIGH,no
198358,felbamate 400 MG Oral Tablet,SCD,N03AX10,N03AX10,N03AX10,unchanged,n/a,no
198463,aspirin 200 MG Rectal Suppository,SCD,B01AC06|N02BA01|N02BA51,N02BA01,N02BA01,atcprod-confirmed,HIGH,no
199672,albendazole 200 MG Oral Tablet,SCD,P02CA03,P02CA03,P02CA03,unchanged,n/a,no
2001439,lidocaine 0.018 MG/MG Medicated Patch [ZTlido],SBD,D04AB01|N01BB02|R02AD02,D04AB01,D04AB01,atcprod-confirmed,HIGH,no
204887,povidone-iodine 75 MG/ML Medicated Shampoo,SCD,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,D08AG02|D09AA09|D11AC06,D11AC06,llm-OTHER,HIGH,YES
205532,dornase alfa 1 MG/ML Inhalation Solution [Pulmozyme],SBD,R05CB13,R05CB13,R05CB13,unchanged,n/a,no
207346,nitroglycerin 0.4 MG Sublingual Tablet [Nitrostat],SBD,C01DA02|C05AE01,C01DA02,C01DA02,atcprod-confirmed,HIGH,no
996179,vardenafil 10 MG Disintegrating Oral Tablet,SCD,G04BE09,G04BE09,G04BE09,unchanged,n/a,no
313335,thiethylperazine 5 MG/ML Injectable Solution,SCD,R06AD03,R06AD03,R06AD03,unchanged,n/a,no
318178,dihydroergocornine 0.167 MG / dihydroergocristine 0.167 MG / dihydroergocryptine 0.167 MG Sublingual Tablet,SCD,C04AE04,C04AE04|N04BC03,C04AE04,llm-OTHER,LOW,YES
351914,verteporfin 15 MG Injection [Visudyne],SBD,S01LA01,S01LA01,S01LA01,unchanged,n/a,no
834167,chlorhexidine gluconate 40 MG/ML Medicated Liquid Soap [Hibiclens],SBD,A01AB03|D08AC02|R02AA05,D08AC02,D08AC02,atcprod-confirmed,HIGH,no
897698,hydromorphone hydrochloride 2 MG Oral Tablet [Dilaudid],SBD,N02AA03,N02AA03,N02AA03,unchanged,n/a,no
309486,chlorpheniramine maleate 0.8 MG/ML / codeine polistirex 2 MG/ML Extended Release Suspension,SCD,R05DA04|R06AB04,R05DA04|R06AB04,R05DA04|R06AB04,unchanged,n/a,no
722279,24 HR rotigotine 0.25 MG/HR Transdermal System,SCD,N04BC09,N04BC09,N04BC09,unchanged,n/a,no
748868,{21 (ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack,GPCK,G03AC03|G03CA01,G03AA07,G03AA07,llm-KEEP_CURRENT,HIGH,no
727542,0.6 ML pegfilgrastim 10 MG/ML Prefilled Syringe [Neulasta],SBD,L03AA13,L03AA13,L03AA13,unchanged,n/a,no
861160,propafenone hydrochloride 225 MG Extended Release Oral Capsule,SCD,C01BC03,C01BC03,C01BC03,unchanged,n/a,no
876858,ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / niacin 8 MG/ML / riboflavin 0.6 MG/ML / thiamine 0.5 MG/ML / vitamin A 0.45 MG/ML / vitamin B12 0.002 MG/ML / vitamin B6 0.4 MG/ML / vitamin E 2.25 MG/ML Oral Solution,SCD,A11CA01|A11DA01|A11GA01|A11HA03|A11HA04|B03BA01,A11JA,A11JB,llm-OTHER,MED,YES
308516,1 ML baclofen 0.05 MG/ML Injection,SCD,M03BX01,M03BX01,M03BX01,unchanged,n/a,no
308848,calcium gluconate 65 MG / niacinamide 3 MG / phenobarbital 200 MG Oral Tablet,SCD,A11HA01|N03AA02,A11HA01|A12AA03|N03AA02,A11HA01|A12AA03|N03AA02,llm-KEEP_CURRENT,MED,no
309491,colchicine 0.65 MG Oral Tablet,SCD,M04AC01,M04AC01,M04AC01,unchanged,n/a,no
